url_product,product_internal_id,product_code,product_name,product_brand,product_category,variant,price,cav_points,description,member_price,normal_price,stock,image_url,vinyard,strain,harvest,origin,line,format,type,alcohol_degrees,blend,guard,pairing,Cuerpo,Frescor,Dulzura,Astringencia
https://www.cav.cl/tienda/producto/veramonte-ritual-pinot-noir-2019-31020,14055,31020,Veramonte Ritual Pinot Noir 2019,Veramonte,Tinto,Pinot Noir,14900,No score available,,Socio: $13.410,Normal: $14.900,Stock: 20,https://cav.cl/storage/sku_images/31020.jpg,Veramonte,Pinot Noir,2019,Casablanca,Premium,750 Cc,Tinto,,,,,,,,
https://www.cav.cl/tienda/producto/veramonte-ritual-sauvignon-blanc-2017-30174,13571,30174,Veramonte Ritual Sauvignon Blanc 2017,Veramonte,Blanco,Sauvignon Blanc,10890,92,"Amarillo dorado, ribetes verdosos, limpio y brillante. En nariz intensidad media, cítrico, mineral ,aromas a manzana verde, piña. En boca acidez media,oleoso.",Socio: $9.801,Normal: $10.890,Stock: 45,https://cav.cl/storage/sku_images/30174.jpg,Veramonte,Sauvignon Blanc,2017,Casablanca,Gran Reserva,750 Cc,Blanco,14°,SB,Beber ya,"Pescados, Mariscos.",0.8,0.8,0.2,0.2
https://www.cav.cl/tienda/producto/vik-a-cabernet-sauvignon-2021-31159,14102,31159,Vik A Cabernet Sauvignon 2021,Vik,Tinto,Cabernet Sauvignon,20990,No score available,,Socio: $18.891,Normal: $20.990,Stock: 21,https://cav.cl/storage/sku_images/31159.jpg,Vik,Cabernet Sauvignon,2021,Cachapoal,Premium,750 Cc,Tinto,,,,,,,,
https://www.cav.cl/tienda/producto/vik-ensamblaje-tinto-2020-31463,14254,31463,Vik Ensamblaje Tinto 2020,Vik,Ensamblaje Tinto,Ensamblaje Tinto,139900,No score available,"Rojo cereza, teja. Nariz dulce, chocolate amargo, ciruelas en confitura, caramelo, cedro. Alta intensidad. En la boca es maduro, de tanino cuidado, sabroso, de buen largo.",Socio: $125.910,Normal: $139.900,Stock: 12,https://cav.cl/storage/sku_images/31463.jpg,Vik,Ensamblaje Tinto,2020,Cachapoal,Icono,750 Cc,Ensamblaje Tinto,,,,"Quesos, Carnes de Caza.",,,,
https://www.cav.cl/tienda/producto/vik-la-piu-belle-ensamblaje-tinto-2020-30252,13589,30252,Vik La Piu Belle Ensamblaje Tinto 2020,Vik,Ensamblaje Tinto,Ensamblaje Tinto,64990,No score available,"Rojo cereza brillante. Aromas de frutas rojas maduras, cereza, mora, algo dulce, floral, violetas, eucalipto, cedro, tabaco. En boca es de acidez media-alta, tanino jugoso, intenso y de buen volumen y estructura.",Socio: $58.491,Normal: $64.990,Stock: 9,https://cav.cl/storage/sku_images/30252.jpg,Vik,Ensamblaje Tinto,2020,Cachapoal,Icono,750 Cc,Ensamblaje Tinto,,,,"Carnes Rojas, Carnes de Caza.",,,,
https://www.cav.cl/tienda/producto/vik-milla-cala-ensamblaje-tinto-2021-31367,14199,31367,Vik Milla Cala Ensamblaje Tinto 2021,Vik,Ensamblaje Tinto,Ensamblaje Tinto,34990,No score available,"Rojo cereza oscuro, algo opaco. Aromas de fruta roja terrosa, guinda ahumada, fondo de suave tostado, especias dulces. Boca compacta, de suave tanino, terso, algo de especias dulces hacia el fondo.",Socio: $31.491,Normal: $34.990,Stock: 28,https://cav.cl/storage/sku_images/31367.jpg,Vik,Ensamblaje Tinto,2021,Cachapoal,Super Premium,750 Cc,Ensamblaje Tinto,,,,"Carnes Rojas, Cerdo.",,,,
https://www.cav.cl/tienda/producto/vilarnau-cava-brut-750cc-24603,9780,24603,Vilarnau Cava Brut 750cc,Vilarnau,Espumoso,Sin Informacion,13990,91,"Amarillo dorado palido limpio y brillante. Aromas a manzana verde, piña, levaduras, pan tostado y flores blancasEn boca es fresco, de acidez alta, burbujas bien integradas, es floral y de persistencia larga.",Socio: $12.591,Normal: $13.990,Stock: 26,https://cav.cl/storage/sku_images/24603.jpg,Vilarnau,Sin Informacion,,Sant Sadurni D´anoia (españa),Premium,750 Cc,Espumoso,11.5°,MC/PR/XA,Entre 1 y 2 años,"Pescados, Mariscos.",0.4,1,0.2,0.2
https://www.cav.cl/tienda/producto/vilarnau-cava-brut-sleeve-rose-delicat-750cc-29637,13352,29637,Vilarnau Cava Brut Sleeve Rose Delicat 750cc,Vilarnau,Espumoso,Espumoso,13990,91,,Socio: $12.591,Normal: $13.990,Stock: 19,https://cav.cl/storage/sku_images/29637.jpg,Vilarnau,Espumoso,,Sant Sadurni D´anoia (españa),Premium,750 Cc,Espumoso,,,,,,,,
https://www.cav.cl/tienda/producto/villard-expresion-syrah-2020-31030,14065,31030,Villard Expresion Syrah 2020,Villard,Tinto,Syrah,10990,No score available,,Socio: $9.891,Normal: $10.990,Stock: 8,https://cav.cl/storage/sku_images/31030.jpg,Villard,Syrah,2020,Casablanca,Gran Reserva,750 Cc,Tinto,,,,,,,,
https://www.cav.cl/tienda/producto/villasenor-invitis-limited-edition-cabernet-franc-2015-26481,11005,26481,Villaseñor Invitis Limited Edition Cabernet Franc 2015,Villa Señor,Tinto,Cabernet Franc,15990,92,,Socio: $14.391,Normal: $15.990,Stock: 22,https://cav.cl/storage/sku_images/26481.jpg,Villa Señor,Cabernet Franc,2015,Cachapoal,Premium,750 Cc,Tinto,,,,,,,,
